pid,date,dekad,B02,B03,B04,B05,B08,B11,n_clean_scl
47939,2022-01-17,1,537.5555555555555,743.8888888888889,634.3333333333334,1191.888888888889,2513.5555555555557,1841.5555555555557,9
47940,2022-01-17,1,467.14285714285717,715.1428571428571,683.2857142857143,1244.5,2595.5714285714284,1445.0,4
47942,2022-01-17,1,519.7777777777778,884.5555555555555,469.22222222222223,1469.111111111111,4339.0,1369.0,9
47944,2022-01-17,1,471.3333333333333,766.3333333333334,475.6666666666667,1149.888888888889,2878.4444444444443,1236.4444444444443,9
47945,2022-01-17,1,353.55555555555554,623.1111111111111,374.6666666666667,1240.4444444444443,3895.5555555555557,1207.2222222222222,9
47950,2022-01-17,1,418.77777777777777,860.4444444444445,376.0,1552.2222222222222,4361.888888888889,1138.2222222222222,9
47954,2022-01-17,1,477.6666666666667,823.6666666666666,375.0,1333.0,3548.4444444444443,1325.5555555555557,9
47958,2022-01-17,1,436.55555555555554,576.6666666666666,282.6666666666667,943.0,3251.5555555555557,1352.0,9
47959,2022-01-17,1,345.44444444444446,555.5555555555555,283.77777777777777,893.3333333333334,2901.0,1102.2222222222222,9
47966,2022-01-17,1,376.44444444444446,545.0,416.1111111111111,915.4444444444445,2062.8888888888887,1179.7777777777778,9
47967,2022-01-17,1,447.44444444444446,574.0,610.0,980.7142857142857,2067.0,1699.5714285714287,7
47977,2022-01-17,1,474.3333333333333,824.5555555555555,355.1111111111111,1420.888888888889,4521.555555555556,1563.0,9
47979,2022-01-17,1,421.22222222222223,636.8888888888889,580.0,1176.5555555555557,2528.777777777778,1386.3333333333333,9
47989,2022-01-17,1,472.0,884.0,462.0,1448.3333333333333,3993.777777777778,1564.7777777777778,9
47994,2022-01-17,1,595.6666666666666,919.0,691.6666666666666,1535.4285714285713,4767.333333333333,1962.7142857142858,7
47997,2022-01-17,1,461.8888888888889,686.2222222222222,318.6666666666667,1117.6666666666667,4690.777777777777,1097.2222222222222,9
47999,2022-01-17,1,611.2222222222222,1004.4444444444445,736.8888888888889,1777.888888888889,3787.222222222222,1649.5555555555557,9
48000,2022-01-17,1,403.6666666666667,575.7777777777778,599.1111111111111,1066.25,2179.777777777778,1604.75,4
48002,2022-01-17,1,494.77777777777777,752.2222222222222,384.6666666666667,1205.2222222222222,3955.8888888888887,1391.2222222222222,9
48004,2022-01-17,1,495.77777777777777,873.4444444444445,547.0,1400.111111111111,3268.5555555555557,1523.0,9
48005,2022-01-17,1,495.77777777777777,873.4444444444445,547.0,1400.111111111111,3268.5555555555557,1523.0,9
48006,2022-01-17,1,414.77777777777777,583.4444444444445,385.6666666666667,933.5555555555555,3054.5555555555557,1081.2222222222222,9
48008,2022-01-17,1,569.6666666666666,772.3333333333334,1092.0,1464.6666666666667,2121.6666666666665,2192.6666666666665,9
48010,2022-01-17,1,437.22222222222223,591.3333333333334,323.1111111111111,905.3333333333334,2662.3333333333335,1017.6666666666666,9
48016,2022-01-17,1,498.8888888888889,744.1111111111111,403.8888888888889,1142.7777777777778,3622.0,1324.888888888889,9
48017,2022-01-17,1,493.44444444444446,922.3333333333334,511.8888888888889,1514.4444444444443,4822.0,1441.5555555555557,9
48018,2022-01-17,1,554.1111111111111,838.2222222222222,643.3333333333334,1174.888888888889,2470.777777777778,1637.4444444444443,9
48028,2022-01-17,1,407.77777777777777,659.8888888888889,339.6666666666667,1122.888888888889,3497.777777777778,1411.7777777777778,9
48035,2022-01-17,1,530.0,763.0,772.5,1378.6666666666667,2362.0,1691.6666666666667,3
48036,2022-01-17,1,425.55555555555554,823.4444444444445,322.55555555555554,1370.888888888889,4359.333333333333,1520.3333333333333,9
48039,2022-01-17,1,483.22222222222223,884.3333333333334,479.3333333333333,1574.4444444444443,3474.0,1577.4444444444443,9
48040,2022-01-17,1,449.6666666666667,551.0,428.3333333333333,848.0,1704.6666666666667,1044.0,6
48041,2022-01-17,1,449.6666666666667,551.0,428.3333333333333,848.0,1704.6666666666667,1044.0,6
48042,2022-01-17,1,443.22222222222223,655.6666666666666,430.77777777777777,951.3333333333334,3047.0,1235.111111111111,9
48043,2022-01-17,1,473.1111111111111,791.6666666666666,409.77777777777777,1153.888888888889,3143.777777777778,1479.3333333333333,9
48044,2022-01-17,1,505.0,653.875,650.0,1111.75,2198.0,1689.125,8
