pid,date,dekad,B04,B08,B05,B11
2376,2025-01-02,0,716.8888888888889,2065.5555555555557,1186.4444444444443,1125.888888888889
2377,2025-01-02,0,735.1111111111111,2210.6666666666665,1217.6666666666667,1191.7777777777778
2378,2025-01-02,0,591.7777777777778,2454.0,1151.5555555555557,1580.0
2379,2025-01-02,0,487.0,2703.3333333333335,1123.5555555555557,1435.6666666666667
2380,2025-01-02,0,409.3333333333333,3081.1111111111113,1173.5555555555557,1440.3333333333333
2381,2025-01-02,0,669.4444444444445,1913.3333333333333,1123.4444444444443,1359.3333333333333
2578,2025-01-02,0,773.8888888888889,1588.888888888889,1067.111111111111,1442.111111111111
2580,2025-01-02,0,719.8888888888889,1361.111111111111,970.2222222222222,1054.0
2581,2025-01-02,0,751.5555555555555,1511.7777777777778,903.7777777777778,1542.7777777777778
2585,2025-01-02,0,258.55555555555554,4706.222222222223,1000.2222222222222,1587.888888888889
2606,2025-01-02,0,1463.111111111111,2317.5555555555557,1635.2222222222222,2177.222222222222
2612,2025-01-02,0,554.1111111111111,3148.6666666666665,1180.4444444444443,1490.0
2613,2025-01-02,0,408.77777777777777,2265.5555555555557,954.5555555555555,1397.4444444444443
2713,2025-01-02,0,867.1111111111111,1694.4444444444443,1061.2222222222222,1659.3333333333333
2720,2025-01-02,0,1191.5555555555557,2420.6666666666665,1632.2222222222222,2347.5555555555557
2723,2025-01-02,0,622.4444444444445,2924.8888888888887,1297.2222222222222,1661.6666666666667
2725,2025-01-02,0,981.7777777777778,1661.5555555555557,1263.2222222222222,1703.3333333333333
2735,2025-01-02,0,1210.3333333333333,2740.222222222222,1471.3333333333333,1877.5555555555557
2744,2025-01-02,0,805.7777777777778,2169.1111111111113,1353.888888888889,1589.888888888889
2782,2025-01-02,0,533.3333333333334,3099.1111111111113,1247.4444444444443,1672.5555555555557
2785,2025-01-02,0,237.55555555555554,3553.777777777778,956.0,1408.111111111111
2818,2025-01-02,0,1230.4444444444443,1870.0,1417.5555555555557,1876.111111111111
2819,2025-01-02,0,770.1111111111111,2275.3333333333335,1290.5555555555557,1581.7777777777778
2823,2025-01-02,0,303.3333333333333,1073.2222222222222,504.0,470.3333333333333
2825,2025-01-02,0,290.77777777777777,3316.4444444444443,931.6666666666666,1308.111111111111
2826,2025-01-02,0,278.8888888888889,905.1111111111111,524.3333333333334,1005.2222222222222
2827,2025-01-02,0,1043.4444444444443,1637.111111111111,1305.2222222222222,1485.2222222222222
2829,2025-01-02,0,400.77777777777777,1545.7777777777778,923.6666666666666,1109.111111111111
2836,2025-01-02,0,390.22222222222223,4103.555555555556,1306.3333333333333,1042.7777777777778
2855,2025-01-02,0,955.8888888888889,2832.4444444444443,1577.7777777777778,1909.4444444444443
2869,2025-01-02,0,801.0,1646.2222222222222,1112.888888888889,1590.0
2895,2025-01-02,0,835.8888888888889,1392.2222222222222,1105.111111111111,1600.888888888889
2896,2025-01-02,0,835.8888888888889,1392.2222222222222,1105.111111111111,1600.888888888889
2897,2025-01-02,0,835.8888888888889,1392.2222222222222,1105.111111111111,1600.888888888889
2898,2025-01-02,0,835.8888888888889,1392.2222222222222,1105.111111111111,1600.888888888889
2904,2025-01-02,0,770.3333333333334,2634.6666666666665,1162.4444444444443,1731.3333333333333
2936,2025-01-02,0,456.3333333333333,1371.888888888889,772.8888888888889,689.8888888888889
3232,2025-01-02,0,700.1111111111111,1794.888888888889,1131.0,1741.111111111111
3233,2025-01-02,0,603.5555555555555,1600.4444444444443,986.5555555555555,1355.111111111111
3238,2025-01-02,0,741.4444444444445,2040.888888888889,1187.6666666666667,1474.5555555555557
3249,2025-01-02,0,462.22222222222223,2426.6666666666665,1032.111111111111,1279.5555555555557
3250,2025-01-02,0,694.0,2672.8888888888887,1266.888888888889,1546.5555555555557
3251,2025-01-02,0,498.8888888888889,2680.222222222222,1154.6666666666667,1435.0
3258,2025-01-02,0,710.5555555555555,1998.888888888889,1186.4444444444443,1519.0
3259,2025-01-02,0,464.8888888888889,5067.111111111111,1692.5555555555557,1374.888888888889
3260,2025-01-02,0,609.5555555555555,1976.6666666666667,1106.4444444444443,1291.5555555555557
3261,2025-01-02,0,494.77777777777777,1856.2222222222222,1008.5555555555555,1267.2222222222222
3262,2025-01-02,0,378.77777777777777,2004.0,742.4444444444445,867.2222222222222
3263,2025-01-02,0,823.3333333333334,1542.6666666666667,1132.5555555555557,1990.6666666666667
3264,2025-01-02,0,720.4444444444445,2135.5555555555557,1192.111111111111,1684.6666666666667
3266,2025-01-02,0,625.0,2364.6666666666665,1199.0,1492.6666666666667
3285,2025-01-02,0,413.55555555555554,2356.4444444444443,968.5555555555555,1287.4444444444443
3286,2025-01-02,0,1066.5555555555557,2239.1111111111113,1403.5555555555557,1880.3333333333333
3287,2025-01-02,0,304.3333333333333,4098.666666666667,1053.0,1392.111111111111
3288,2025-01-02,0,581.3333333333334,3713.777777777778,1543.7777777777778,1850.888888888889
3289,2025-01-02,0,613.3333333333334,1454.4444444444443,894.3333333333334,1184.0
3290,2025-01-02,0,639.0,1303.3333333333333,764.4444444444445,1441.111111111111
3291,2025-01-02,0,397.22222222222223,3602.222222222222,1106.2222222222222,1336.3333333333333
3292,2025-01-02,0,452.3333333333333,1971.2222222222222,828.6666666666666,954.7777777777778
3293,2025-01-02,0,964.8888888888889,2300.222222222222,1465.7777777777778,1857.2222222222222
3294,2025-01-02,0,347.8888888888889,1320.5555555555557,698.0,684.8888888888889
3295,2025-01-02,0,768.4444444444445,1416.0,1005.6666666666666,1677.111111111111
3296,2025-01-02,0,570.5555555555555,3097.1111111111113,1206.888888888889,1550.0
3297,2025-01-02,0,595.2222222222222,3019.3333333333335,1283.6666666666667,1982.7777777777778
3298,2025-01-02,0,832.6666666666666,2049.777777777778,1216.111111111111,1616.7777777777778
3299,2025-01-02,0,629.0,1160.0,880.0,1599.2222222222222
3300,2025-01-02,0,1084.2222222222222,1682.888888888889,1361.7777777777778,1455.111111111111
3301,2025-01-02,0,845.8888888888889,2213.5555555555557,1345.0,1675.5555555555557
