pid,z_seed1,z_seed2,z_seed3,z_seed4,z_seed5,z_seed42,z_seed100,times_flagged,mean_z,crop,lat,lng
4864,10.20659937743759,11.215214576849156,6.4204243986230685,13.33309243394988,6.078725860687697,3.85701056813576,4.058356703360174,7,7.881346274149047,Spring Barley,52.93050341534678,-6.247996489853516
1147,5.2397047015667795,14.193433536094226,7.979686908641915,3.762562559707119,7.313883942440394,5.672817808439426,9.233747309077291,7,7.627976680852449,Spring Barley,52.488793677402384,-6.482933870460104
3865,9.588571251280829,7.136725161402454,11.649499655153447,8.132357786115344,7.486460810902962,2.2159578106789906,3.1363593883772882,6,7.049418837701617,Winter Wheat,52.80255252972709,-6.798065659657622
1497,4.953910383227671,6.828399957040136,4.892289362799312,5.151212996829834,5.156291768686935,12.493710212780373,9.314513498725368,7,6.970046882869947,Maize,52.51641792036124,-6.691799568136267
924,6.5141070549399895,5.974095938116076,7.158720203249872,5.760507335871805,10.665606480968355,6.878592103808435,4.7342376218704345,7,6.812266676974995,Spring Barley,52.40407052967607,-6.767235590589659
3625,12.323644781464383,2.5342070765301368,9.869873806729226,2.6082245002425446,16.412631812971654,1.6825913456748918,2.0381731914014534,5,6.781335216430613,Winter Barley,52.81723591733565,-6.903480371953171
4510,5.748164562253382,7.232034556361407,6.912872918954147,6.12674242399347,5.857631354330043,5.324656288375257,8.485422862469038,7,6.526789280962391,Winter Wheat,52.96852239335205,-6.901523220663467
4337,9.70623055775341,5.17350815100374,4.731062613228995,5.697999282858367,7.210477057388898,4.0822502486826595,8.824793933134451,7,6.489474549150075,Winter Wheat,52.97396478749232,-7.151977685564379
3901,12.04583746787265,3.0281137226855077,12.08043680303426,2.948576017736526,4.805449934522274,3.157819723637864,7.315716788030639,7,6.483135779645674,Spring Wheat,52.8634589000973,-6.879571722972743
1860,8.248342109409013,5.837763302781107,6.468355285279467,5.357059719242467,4.937963590087126,7.111763122516758,5.618807062085478,7,6.22572202734306,Spring Barley,52.50680428335532,-6.46443657386806
3968,7.683356139429973,7.522386257557467,7.88958924324121,7.759387624576696,4.378571541069431,3.4576853752808496,4.683019100491441,7,6.1962850402352965,Winter Oats,52.828265979374656,-6.73334312629075
4375,8.472956351043967,6.4135799257587855,5.76096753981758,7.917607792779103,4.968478679112996,4.368305208903112,5.452996429564292,7,6.193555989568549,Spring Barley,52.95673847982469,-7.031162096200859
1206,9.75992533875306,4.438667560328853,6.159186320112689,3.690745190176274,7.749814492358077,4.425878950868988,7.019032094138327,7,6.177607135248038,Winter Oats,52.40250689414259,-6.370928037675456
